alpha,mc_estimate,mcse,ci95_lo,ci95_hi,deterministic_quadrature,estimate_minus_alpha
0.060,0.065633541796,0.000021056570,0.065589469889,0.065677613703,0.065623718486,0.005633541796
0.061,0.066670486531,0.000021041788,0.066626445563,0.066714527499,0.066660042567,0.005670486531
0.062,0.067703657048,0.000021013794,0.067659674672,0.067747639424,0.067694220107,0.005703657048
0.063,0.068737094439,0.000021059739,0.068693015900,0.068781172979,0.068727068005,0.005737094439
0.064,0.069767796095,0.000020856636,0.069724142655,0.069811449535,0.069758220765,0.005767796095
0.065,0.070796936571,0.000021082434,0.070752810529,0.070841062612,0.070787675444,0.005796936571
0.066,0.071825181897,0.000021002324,0.071781223527,0.071869140266,0.071815430028,0.005825181897
0.067,0.072850454699,0.000021038839,0.072806419903,0.072894489495,0.072841483039,0.005850454699
0.068,0.073876549998,0.000020876891,0.073832854162,0.073920245833,0.073865833765,0.005876549998
0.069,0.074898701364,0.000020878878,0.074855001370,0.074942401357,0.074888484525,0.005898701364
0.070,0.075920309159,0.000020811309,0.075876750589,0.075963867728,0.075910574090,0.005920309159
0.071,0.076939288823,0.000020619100,0.076896132551,0.076982445095,0.076929893057,0.005939288823
0.072,0.077955319821,0.000020559731,0.077912287810,0.077998351832,0.077947507109,0.005955319821
0.073,0.078974725614,0.000020736506,0.078931323609,0.079018127620,0.078964853003,0.005974725614
0.074,0.079991701229,0.000021148156,0.079947437630,0.080035964829,0.079979134440,0.005991701229
0.075,0.081003039152,0.000020896939,0.080959301355,0.081046776949,0.080991717120,0.006003039152
0.076,0.082011665832,0.000020303308,0.081969170520,0.082054161145,0.082004299020,0.006011665832
0.077,0.083024478038,0.000020075615,0.082982459292,0.083066496783,0.083013550269,0.006024478038
0.078,0.084031032590,0.000020384060,0.083988368262,0.084073696917,0.084022997315,0.006031032590
0.079,0.085038203790,0.000020359502,0.084995590863,0.085080816717,0.085030942938,0.006038203790
0.080,0.086043805236,0.000020758551,0.086000357089,0.086087253383,0.086035231269,0.006043805236
0.081,0.087046748810,0.000021464437,0.087001823228,0.087091674393,0.087040039805,0.006046748810
0.082,0.088051087613,0.000020920683,0.088007300120,0.088094875106,0.088043340416,0.006051087613
0.083,0.089047396711,0.000020827576,0.089003804094,0.089090989328,0.089042679783,0.006047396711
0.084,0.090048419526,0.000020589917,0.090005324334,0.090091514718,0.090042844354,0.006048419526
0.085,0.091048065856,0.000020765991,0.091004602136,0.091091529576,0.091041502880,0.006048065856
0.086,0.092041188004,0.000020121951,0.091999072277,0.092083303731,0.092038654021,0.006041188004
0.087,0.093044154588,0.000020328717,0.093001606095,0.093086703082,0.093031445735,0.006044154588
0.088,0.094042125689,0.000021246385,0.093997656493,0.094086594884,0.094025462295,0.006042125689
0.089,0.095024471177,0.000020778405,0.094980981476,0.095067960878,0.095017980037,0.006024471177
0.090,0.096014763212,0.000021100458,0.095970599446,0.096058926979,0.096008995775,0.006014763212
0.091,0.097004947519,0.000019822228,0.096963459119,0.097046435919,0.096998509870,0.006004947519
0.092,0.097985534581,0.000020319206,0.097943005995,0.098028063167,0.097986523442,0.005985534581
0.093,0.098974087526,0.000019682292,0.098932892016,0.099015283035,0.098973037968,0.005974087526
0.094,0.099968259185,0.000019605394,0.099927224623,0.100009293747,0.099958055193,0.005968259185
0.095,0.100952545298,0.000020718749,0.100909180457,0.100995910138,0.100941577118,0.005952545298
0.096,0.101933211387,0.000019462843,0.101892475188,0.101973947586,0.101923606069,0.005933211387
0.097,0.102914148545,0.000019319246,0.102873712899,0.102954584192,0.102904144913,0.005914148545
0.098,0.103889520828,0.000020353160,0.103846921174,0.103932120482,0.103883197993,0.005889520828
0.099,0.104869275641,0.000019913100,0.104827597045,0.104910954237,0.104864921741,0.005869275641
0.100,0.105845471784,0.000019266131,0.105805147308,0.105885796260,0.105841102702,0.005845471784
