N,m,alpha_index,alpha,replications,batch,seed,fdr,mcse,ci95_lower,ci95_upper,rejection_probability,rejection_probability_mcse,mean_fixed_point_iterations,maximum_fixed_point_iterations
50,8350,32,0.033,100000,20000,25514379,0.03401339346017882,0.0002746981184257852,0.03347499504144336,0.03455179187891428,0.93622,0.0007727361231364816,4.79591,33
50,8350,33,0.034,100000,20000,25522298,0.035025599144626524,0.0002784630374887552,0.03447982162012293,0.035571376669130114,0.93729,0.0007666645674608945,4.82271,41
50,8350,34,0.035,100000,20000,25530217,0.03613297021291483,0.0002814441684496249,0.035581349779094745,0.03668459064673492,0.93894,0.0007571768379975711,4.83847,31
50,8350,35,0.036,100000,20000,25538136,0.03697186827028232,0.0002792113816556736,0.036424624018163536,0.03751911252240111,0.94095,0.0007454065836843678,4.83892,38
50,8350,36,0.037,100000,20000,25546055,0.03900295076602043,0.0002985158199473435,0.03841787051010819,0.03958803102193267,0.94185,0.0007400579538117271,4.88101,36
50,8350,37,0.038,100000,20000,25553974,0.03966183973726823,0.00029675313985379746,0.03908021427085561,0.04024346520368085,0.94188,0.0007398788116982399,4.89113,35
50,8350,38,0.039,100000,20000,25561893,0.04080430561293291,0.00029919481589539375,0.04021789454941685,0.041390716676448974,0.94318,0.0007320620711387797,4.91379,35
50,8350,39,0.04,100000,20000,25569812,0.0417773567475032,0.0003022604666303882,0.04118493711895737,0.04236977637604903,0.94487,0.0007217387553678964,4.93003,35
50,8350,40,0.041,100000,20000,25577731,0.04257783088174993,0.0002996279106467125,0.04199057096811939,0.043165090795380466,0.94483,0.0007219852567746799,4.95602,38
50,8350,41,0.042,100000,20000,25585650,0.04335750265002266,0.00029919757191053316,0.04277108618481618,0.04394391911522914,0.94719,0.0007072559925514949,4.96221,39
50,8350,42,0.043,100000,20000,25593569,0.04464472831055376,0.0003055232656784554,0.04404591371338492,0.045243542907722596,0.94915,0.0006947249635647185,4.97875,41
50,8350,43,0.044,100000,20000,25601488,0.045045905511018045,0.0003004638919157968,0.04445700710420835,0.04563480391782774,0.94873,0.00069743377535075,4.9954,36
50,8350,44,0.045,100000,20000,25609407,0.046140396049650825,0.0003009384670815997,0.0455505674926082,0.04673022460669345,0.94819,0.0007008974525563637,5.02782,38
50,8350,45,0.046,100000,20000,25617326,0.047446990820092794,0.0003071697334367887,0.04684494920541592,0.04804903243476967,0.95215,0.0006749842775946707,5.03301,33
50,8350,46,0.047,100000,20000,25625245,0.04850695931654392,0.0003104333725200132,0.04789852108680539,0.04911539754628245,0.95192,0.0006765228274049591,5.06371,36
